Datasets,Models,Metrics,Combination,Value,Rank
bigvul,gpt-3.5-turbo,#Input Token,CVE ID+CVE Description+CWE Example+Vulnerable Lines,1710.405268490375,115
bigvul,gpt-3.5-turbo,#Input Token,CVE Description+CWE Name+CWE Example+Vulnerable Lines,1713.0587639311043,116
bigvul,gpt-3.5-turbo,#Input Token,CVE ID+CVE Description+CWE ID+CWE Example+Vulnerable Lines,1718.405268490375,117
bigvul,gpt-3.5-turbo,#Input Token,CVE Description+CWE ID+CWE Name+CWE Example+Vulnerable Lines,1721.0587639311043,118
bigvul,gpt-3.5-turbo,#Input Token,CVE ID+CVE Description+CWE Name+CWE Example+Vulnerable Lines,1725.082066869301,119
bigvul,gpt-3.5-turbo,#Input Token,CVE Description+CWE Description+CWE Example+Vulnerable Lines,1729.8601823708207,120
bigvul,gpt-3.5-turbo,#Input Token,CVE ID+CVE Description+CWE ID+CWE Name+CWE Example+Vulnerable Lines,1733.082066869301,121
bigvul,gpt-3.5-turbo,#Input Token,CVE Description+CWE ID+CWE Description+CWE Example+Vulnerable Lines,1737.8601823708207,122
bigvul,gpt-3.5-turbo,#Input Token,CVE ID+CVE Description+CWE Description+CWE Example+Vulnerable Lines,1741.8834853090173,123
bigvul,gpt-3.5-turbo,#Input Token,CVE Description+CWE Name+CWE Description+CWE Example+Vulnerable Lines,1744.5369807497468,124
bigvul,gpt-3.5-turbo,#Input Token,CVE ID+CVE Description+CWE ID+CWE Description+CWE Example+Vulnerable Lines,1749.8834853090173,125
bigvul,gpt-3.5-turbo,#Input Token,CVE Description+CWE ID+CWE Name+CWE Description+CWE Example+Vulnerable Lines,1752.5369807497468,126
bigvul,gpt-3.5-turbo,#Input Token,CVE ID+CVE Description+CWE Name+CWE Description+CWE Example+Vulnerable Lines,1756.5602836879432,127
bigvul,gpt-3.5-turbo,#Input Token,CVE ID+CVE Description+CWE ID+CWE Name+CWE Description+CWE Example+Vulnerable Lines,1764.5602836879432,128
bigvul,gpt-3.5-turbo,#Output Token,CVE Description+CWE Name+CWE Description+CWE Example+Vulnerable Lines,543.2370820668693,1
